# DIF   CHIP    CHAN    X       Y       Z       PLANE   PLANE_CHANNEL
1	1	17	-1	-1	-1	-1	-1
1	1	18	-1	-1	-1	-1	-1
1	1	19	-1	-1	-1	-1	-1
1	1	20	-1	-1	-1	-1	-1
1	1	21	-1	-1	-1	-1	-1
1	1	22	36.5	900	900	9	-1
1	1	23	122.5	900	900	7	-1
1	1	24	-1	-1	-1	-1	-1
1	1	25	-1	-1	-1	-1	-1
1	1	26	165.5	900	900	6	-1
1	1	27	79.5	900	900	8	-1
1	1	28	-1	-1	-1	-1	-1
1	1	29	-1	-1	-1	-1	-1
1	1	30	-1	-1	-1	-1	-1
1	2	0	79.5	900	1100	8	-1
1	2	1	36.5	900	1100	9	-1
1	2	2	423.5	900	1300	0	-1
1	2	3	380.5	900	1300	1	-1
1	2	4	337.5	900	1300	2	-1
1	2	5	294.5	900	1300	3	-1
1	2	6	251.5	900	1300	4	-1
1	2	7	208.5	900	1300	5	-1
1	2	8	122.5	900	1100	7	-1
1	2	9	208.5	900	1100	5	-1
1	2	10	294.5	900	1100	3	-1
1	2	11	380.5	900	1100	1	-1
1	2	12	165.5	900	1100	6	-1
1	2	13	251.5	900	1100	4	-1
1	2	14	337.5	900	1100	2	-1
1	2	15	423.5	900	1100	0	-1
1	2	16	-1	-1	-1	-1	-1
1	2	17	36.5	900	1500	9	-1
1	2	18	122.5	900	1500	7	-1
1	2	19	208.5	900	1500	5	-1
1	2	20	294.5	900	1500	3	-1
1	2	21	380.5	900	1500	1	-1
1	2	22	36.5	900	1300	9	-1
1	2	23	122.5	900	1300	7	-1
1	2	24	337.5	900	1500	2	-1
1	2	25	423.5	900	1500	0	-1
1	2	26	165.5	900	1300	6	-1
1	2	27	79.5	900	1300	8	-1
1	2	28	251.5	900	1500	4	-1
1	2	29	165.5	900	1500	6	-1
1	2	30	79.5	900	1500	8	-1
2	0	0	380.5	900	1500	8	-1
2	0	1	423.5	900	1500	9	-1
2	0	2	36.5	900	1300	0	-1
2	0	3	79.5	900	1300	1	-1
2	0	4	122.5	900	1300	2	-1
2	0	5	165.5	900	1300	3	-1
2	0	6	208.5	900	1300	4	-1
2	0	7	251.5	900	1300	5	-1
2	0	8	337.5	900	1500	7	-1
2	0	9	251.5	900	1500	5	-1
2	0	10	165.5	900	1500	3	-1
2	0	11	79.5	900	1500	1	-1
2	0	12	294.5	900	1500	6	-1
2	0	13	208.5	900	1500	4	-1
2	0	14	122.5	900	1500	2	-1
